user_id,product_id,product_name,category,price,rating,user_previous_purchases,user_interests,interaction_type,timestamp
u1081,p1002,laptop stand,electronics,1199,1,wireless mouse|t-shirt|running shoes,electronics|beauty,purchase,2025-08-24
u1011,p4001,face wash,beauty,399,2,cooking pan|wireless mouse|moisturizer,beauty|home & kitchen,purchase,2025-08-09
u1003,p3003,mixer grinder,home & kitchen,3499,4,running shoes|moisturizer|mixer grinder,home & kitchen|beauty,purchase,2025-10-31
u1103,p1001,wireless mouse,electronics,799,2,bluetooth keyboard|cooking pan|jeans,fashion|beauty,cart,2025-12-15
u1011,p3001,cooking pan,home & kitchen,1599,4,laptop stand|jeans|moisturizer,fashion|beauty,purchase,2025-12-10
u1118,p3001,cooking pan,home & kitchen,1599,2,laptop stand|mixer grinder|t-shirt,fashion|home & kitchen,purchase,2025-12-24
u1005,p4002,moisturizer,beauty,599,4,running shoes|t-shirt|laptop stand,electronics|beauty,cart,2025-09-16
u1081,p2003,jeans,fashion,1799,3,bluetooth keyboard|jeans|moisturizer,electronics|fashion,purchase,2025-07-20
u1082,p1002,laptop stand,electronics,1199,4,face wash|moisturizer|bluetooth keyboard,electronics|beauty,cart,2025-11-02
u1118,p4002,moisturizer,beauty,599,2,sunscreen|mixer grinder|running shoes,fashion|beauty,view,2025-10-22
u1051,p2002,t-shirt,fashion,799,4,laptop stand|running shoes|face wash,fashion|beauty,cart,2025-07-30
u1058,p1003,bluetooth keyboard,electronics,1499,5,t-shirt|bluetooth keyboard|running shoes,fashion|home & kitchen,cart,2025-08-14
u1051,p2003,jeans,fashion,1799,1,running shoes|bluetooth keyboard|mixer grinder,home & kitchen|beauty,view,2025-12-02
u1080,p1003,bluetooth keyboard,electronics,1499,4,moisturizer|cooking pan|face wash,beauty|electronics,purchase,2025-09-13
u1067,p2002,t-shirt,fashion,799,3,mixer grinder|wireless mouse|laptop stand,fashion|home & kitchen,view,2025-10-27
u1055,p1003,bluetooth keyboard,electronics,1499,1,knife set|wireless mouse|t-shirt,electronics|fashion,purchase,2025-10-26
u1107,p4002,moisturizer,beauty,599,2,mixer grinder|face wash|running shoes,electronics|home & kitchen,purchase,2025-08-28
u1117,p1001,wireless mouse,electronics,799,3,face wash|jeans|knife set,beauty|home & kitchen,cart,2025-11-10
u1007,p2001,running shoes,fashion,2499,5,face wash|laptop stand|moisturizer,home & kitchen|beauty,view,2025-12-09
u1084,p3002,knife set,home & kitchen,999,5,mixer grinder|bluetooth keyboard|t-shirt,home & kitchen|beauty,purchase,2025-07-18
u1025,p4003,sunscreen,beauty,699,4,t-shirt|cooking pan|jeans,home & kitchen|fashion,view,2025-11-08
